model,appliance,category,experiment,recall,f1,precision,accuracy,MAE,RETE,epochs,hparams
VIBWGRU,television,Single,Train_REFIT_test_1_UKDALE,0.306,0.41100000000000003,0.625,0.9179999999999999,20.809,-0.402,9,{'dropout': 0.25}
VIB_SAED,television,Single,Train_REFIT_test_1_UKDALE,0.33,0.447,0.6920000000000001,0.924,19.084,-0.319,9,{'window_size': 500}
VIBFNET,television,Single,Train_REFIT_test_5_UKDALE,0.36,0.174,0.115,0.65,47.842,5.17,13,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,television,Single,Train_REFIT_test_5_UKDALE,0.513,0.261,0.175,0.7020000000000001,42.601000000000006,8.346,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,television,Single,Train_REFIT_test_5_UKDALE,0.51,0.19699999999999998,0.122,0.5720000000000001,57.586000000000006,2.7230000000000003,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,television,Single,Train_REFIT_test_5_UKDALE,0.35,0.171,0.113,0.652,44.869,7.686,9,{'dropout': 0.25}
VIB_SAED,television,Single,Train_REFIT_test_5_UKDALE,0.55,0.213,0.132,0.5820000000000001,47.18,4.423,9,{'window_size': 500}
VIBFNET,television,Single,Train_REFIT_test_6_REFIT,0.648,0.64,0.633,0.8320000000000001,20.255,1.4269999999999998,13,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,television,Single,Train_REFIT_test_6_REFIT,0.669,0.639,0.611,0.825,20.928,0.198,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,television,Single,Train_REFIT_test_6_REFIT,0.705,0.674,0.6459999999999999,0.843,18.755,0.618,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,television,Single,Train_REFIT_test_6_REFIT,0.67,0.67,0.6709999999999999,0.848,18.271,5.412000000000001,9,{'dropout': 0.25}
VIB_SAED,television,Single,Train_REFIT_test_6_REFIT,0.7040000000000001,0.659,0.619,0.8320000000000001,21.09,0.349,9,{'window_size': 500}
VIBFNET,tumble dryer,Single,Train_REFIT_test_14_REFIT,0.0,,0.0,0.997,25.585,-0.368,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,tumble dryer,Single,Train_REFIT_test_14_REFIT,0.0,,0.0,0.991,11.529000000000002,-0.138,5,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,tumble dryer,Single,Train_REFIT_test_14_REFIT,0.0,,0.0,0.996,9.077,-0.098,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,tumble dryer,Single,Train_REFIT_test_14_REFIT,0.0,,0.0,0.996,14.175,-0.153,6,{'dropout': 0.25}
VIB_SAED,tumble dryer,Single,Train_REFIT_test_14_REFIT,0.0,,0.0,0.9940000000000001,17.506,-0.225,6,{'window_size': 500}
VIBFNET,tumble dryer,Single,Train_REFIT_test_16_REFIT,0.504,0.311,0.225,0.9790000000000001,67.137,-2.226,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,tumble dryer,Single,Train_REFIT_test_16_REFIT,0.595,0.204,0.12300000000000001,0.956,60.271,-1.709,5,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,tumble dryer,Single,Train_REFIT_test_16_REFIT,0.807,0.284,0.172,0.9620000000000001,50.278999999999996,-0.9079999999999999,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,tumble dryer,Single,Train_REFIT_test_16_REFIT,0.878,0.436,0.29,0.9790000000000001,49.891000000000005,-1.348,6,{'dropout': 0.25}
VIB_SAED,tumble dryer,Single,Train_REFIT_test_16_REFIT,0.8490000000000001,0.185,0.10400000000000001,0.93,70.835,-4.593,6,{'window_size': 500}
VIBFNET,tumble dryer,Single,Train_REFIT_test_19_REFIT,0.151,0.179,0.221,0.965,65.077,-0.259,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,tumble dryer,Single,Train_REFIT_test_19_REFIT,0.076,0.06,0.049,0.9390000000000001,68.372,-0.231,5,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,tumble dryer,Single,Train_REFIT_test_19_REFIT,0.71,0.565,0.469,0.973,32.115,-0.115,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,tumble dryer,Single,Train_REFIT_test_19_REFIT,0.609,0.588,0.568,0.9790000000000001,37.128,-0.34700000000000003,6,{'dropout': 0.25}
VIB_SAED,tumble dryer,Single,Train_REFIT_test_19_REFIT,0.575,0.386,0.29,0.9540000000000001,66.545,-0.546,6,{'window_size': 500}
VIBFNET,tumble dryer,Single,Train_REFIT_test_20_REFIT,0.044000000000000004,0.06,0.092,0.963,76.542,-0.172,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,tumble dryer,Single,Train_REFIT_test_20_REFIT,0.037000000000000005,0.039,0.040999999999999995,0.951,65.385,-0.069,5,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,tumble dryer,Single,Train_REFIT_test_20_REFIT,0.111,0.106,0.102,0.95,53.405,-0.28600000000000003,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,tumble dryer,Single,Train_REFIT_test_20_REFIT,0.03,0.038,0.053,0.96,65.428,-0.109,6,{'dropout': 0.25}
VIB_SAED,tumble dryer,Single,Train_REFIT_test_20_REFIT,0.5479999999999999,0.33299999999999996,0.239,0.941,72.317,-0.324,6,{'window_size': 500}
VIBFNET,tumble dryer,Single,Train_REFIT_test_7_REFIT,0.628,0.715,0.83,0.975,55.652,0.48200000000000004,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,tumble dryer,Single,Train_REFIT_test_7_REFIT,0.5710000000000001,0.57,0.57,0.958,60.591,0.9279999999999999,5,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,tumble dryer,Single,Train_REFIT_test_7_REFIT,0.862,0.7909999999999999,0.73,0.978,41.453,0.56,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,tumble dryer,Single,Train_REFIT_test_7_REFIT,0.892,0.836,0.7859999999999999,0.983,41.43899999999999,0.09,6,{'dropout': 0.25}
VIB_SAED,tumble dryer,Single,Train_REFIT_test_7_REFIT,0.8590000000000001,0.6659999999999999,0.544,0.958,73.663,0.348,6,{'window_size': 500}
VIBFNET,washing machine,Single,Train_UKDALE_test_1_UKDALE,0.645,0.711,0.792,0.975,22.309,2.0069999999999997,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,washing machine,Single,Train_UKDALE_test_1_UKDALE,0.701,0.688,0.6759999999999999,0.97,26.500999999999998,1.511,7,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,washing machine,Single,Train_UKDALE_test_1_UKDALE,0.46799999999999997,0.569,0.727,0.966,23.483,1.551,6,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,washing machine,Single,Train_UKDALE_test_1_UKDALE,0.55,0.638,0.76,0.97,19.88,1.824,6,{'dropout': 0.25}
VIB_SAED,washing machine,Single,Train_UKDALE_test_1_UKDALE,0.46299999999999997,0.526,0.609,0.96,25.855,2.293,16,{'window_size': 500}
VIBFNET,washing machine,Single,Train_UKDALE_test_4_UKDALE,0.363,0.337,0.315,0.9620000000000001,20.75,23.034000000000002,6,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,washing machine,Single,Train_UKDALE_test_4_UKDALE,0.415,0.203,0.134,0.9129999999999999,31.195999999999998,8.519,7,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,washing machine,Single,Train_UKDALE_test_4_UKDALE,0.502,0.289,0.203,0.934,34.498000000000005,0.946,6,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,washing machine,Single,Train_UKDALE_test_4_UKDALE,0.649,0.327,0.21899999999999997,0.929,28.783,0.9179999999999999,6,{'dropout': 0.25}
VIB_SAED,washing machine,Single,Train_UKDALE_test_4_UKDALE,0.562,0.26,0.16899999999999998,0.915,29.675,0.6659999999999999,16,{'window_size': 500}
